assigned,assignment_cost,coverage_pct,family,ferry_cost,flights,label,maintenance_cost,maintenance_events,method,mip_gap,num_constraints,num_vars,solver,status,total_cost,wall_s
,20000.0,,threshold,0.0,20,ABCD_near_thr,0.0,0,classical_milp,0.0,248,2232,highs,optimal,20000.0,0.09608640009537339
,20000.0,,threshold,0.0,20,ABCD_near_thr,1100.0,11,integrated_milp,0.0,5280,2232,highs,optimal,21100.0,0.9499909000005573
14,14000.0,100.0,baseline,0.0,14,ABCD_no_maint,0.0,0,greedy,,,,python,complete,14000.0,0.000826000003144145
14,14000.0,100.0,baseline,0.0,14,ABCD_no_maint,0.0,0,insertion,,,,python,complete,14000.0,0.0013077000621706247
14,14000.0,100.0,baseline,0.0,14,ABCD_no_maint,0.0,0,greedy+insertion,,,,python,complete,14000.0,0.0006635000463575125
14,14000.0,100.0,baseline,0.0,14,ABCD_no_maint,0.0,0,repair,,,,python,complete,14000.0,0.0006540000904351473
14,14000.0,100.0,baseline,0.0,14,ABCD_no_maint,0.0,0,local_search,,,,python,complete,14000.0,0.005513599840924144
14,14000.0,100.0,baseline,0.0,14,ABCD_no_maint,0.0,0,dijkstra,,,,python,complete,14000.0,0.0037760999985039234
14,14000.0,100.0,baseline,0.0,14,ABCD_no_maint,0.0,0,aco,,,,python,complete,14000.0,0.05604359996505082
,14000.0,,baseline,0.0,14,ABCD_no_maint,0.0,0,classical_milp,0.0,70,872,highs,optimal,14000.0,0.03994280006736517
,14000.0,,baseline,0.0,14,ABCD_no_maint,0.0,0,integrated_milp,0.0,1806,872,highs,optimal,14000.0,0.29387980001047254
