AID,Type,ID,From,To,Dep(min),Dur(min),Rem_A(min),Rem_B(min),Rem_C(days),Rem_D(days)
11,FLIGHT,F44,L,J,3782.0,132.0,240.0,420.0,1.665,4.665
11,MAINT,A,J,J,3914.0,45.0,,,,
11,FLIGHT,F50,J,I,4681.0,174.0,240.0,288.0,1.041,4.041
11,FERRY,FERRY,I,A,4855.0,60.0,,,,
11,MAINT,B,A,A,4915.0,90.0,,,,
11,FLIGHT,F69,A,H,6432.0,114.0,240.0,420.0,-0.175,2.825
11,MAINT,C,H,H,6546.0,240.0,,,,
11,FLIGHT,F99,H,J,8233.0,147.0,240.0,420.0,2.995,1.574
11,FLIGHT,F109,J,F,9249.0,83.0,93.0,273.0,2.29,0.869
11,FERRY,FERRY,F,H,9332.0,60.0,,,,
11,MAINT,A,H,H,9392.0,45.0,,,,
11,FLIGHT,F117,H,E,9702.0,111.0,240.0,190.0,1.975,0.554
11,MAINT,B,E,E,9813.0,90.0,,,,
11,FLIGHT,F131,E,H,11162.0,157.0,240.0,420.0,0.961,-0.46
11,FERRY,FERRY,H,J,11319.0,60.0,,,,
11,MAINT,D,J,J,11379.0,420.0,,,,
11,FLIGHT,F160,J,G,13602.0,141.0,240.0,420.0,2.748,5.748
11,MAINT,A,G,G,13743.0,45.0,,,,
11,FLIGHT,F171,G,I,14846.0,171.0,240.0,279.0,1.884,4.884
11,MAINT,B,I,I,15017.0,90.0,,,,
11,FLIGHT,F186,I,L,15329.0,154.0,240.0,420.0,1.549,4.549
11,FERRY,FERRY,L,D,15483.0,60.0,,,,
11,FLIGHT,F193,D,A,16362.0,83.0,86.0,266.0,0.831,3.831
11,MAINT,A,A,A,16445.0,45.0,,,,
11,FLIGHT,F219,A,B,19108.0,165.0,240.0,183.0,-1.076,1.924
11,MAINT,C,B,B,19273.0,240.0,,,,
11,FLIGHT,F231,B,L,19711.0,142.0,240.0,420.0,3.862,1.506
11,FERRY,FERRY,L,K,19853.0,60.0,,,,
11,MAINT,A,K,K,19913.0,45.0,,,,
11,FLIGHT,F236,K,D,20826.0,152.0,240.0,278.0,3.088,0.731
11,MAINT,B,D,D,20978.0,90.0,,,,
11,FLIGHT,F257,D,C,22119.0,178.0,240.0,420.0,2.19,-0.167
11,MAINT,D,C,C,22297.0,420.0,,,,
11,FLIGHT,F278,C,G,23887.0,95.0,240.0,420.0,3.188,6.188
11,FLIGHT,F284,G,F,25110.0,62.0,145.0,325.0,2.338,5.338
11,MAINT,A,F,F,25172.0,45.0,,,,
11,FLIGHT,F286,F,D,25436.0,135.0,240.0,263.0,2.112,5.112
12,MAINT,B,H,H,0.0,90.0,,,,
12,FLIGHT,F3,H,I,440.0,165.0,240.0,420.0,1.694,0.694
12,MAINT,A,I,I,605.0,45.0,,,,
12,FLIGHT,F25,I,H,2160.0,76.0,240.0,255.0,0.5,-0.5
12,FERRY,FERRY,H,G,2236.0,60.0,,,,
12,MAINT,D,G,G,2296.0,420.0,,,,
12,FLIGHT,F33,G,L,3321.0,111.0,240.0,420.0,3.58,6.58
12,FLIGHT,F39,L,I,3551.0,93.0,129.0,309.0,3.42,6.42
12,MAINT,A,I,I,3644.0,45.0,,,,
12,FLIGHT,F55,I,L,4920.0,102.0,240.0,216.0,2.469,5.469
12,FLIGHT,F56,L,B,5064.0,80.0,138.0,114.0,2.369,5.369
12,MAINT,B,B,B,5144.0,90.0,,,,
12,FLIGHT,F66,B,H,6320.0,142.0,240.0,420.0,1.497,4.497
12,FERRY,FERRY,H,L,6462.0,60.0,,,,
12,MAINT,A,L,L,6522.0,45.0,,,,
12,FLIGHT,F74,L,B,6626.0,130.0,240.0,278.0,1.285,4.285
12,FLIGHT,F84,B,L,7665.0,95.0,110.0,148.0,0.563,3.563
12,FERRY,FERRY,L,F,7760.0,60.0,,,,
12,MAINT,B,F,F,7820.0,90.0,,,,
12,FLIGHT,F104,F,L,8309.0,176.0,240.0,420.0,0.116,3.116
12,FERRY,FERRY,L,F,8485.0,60.0,,,,
12,MAINT,C,F,F,8545.0,240.0,,,,
12,FLIGHT,F150,F,L,12634.0,159.0,240.0,420.0,1.327,0.113
12,FERRY,FERRY,L,C,12793.0,60.0,,,,
12,MAINT,D,C,C,12853.0,420.0,,,,
12,FLIGHT,F180,C,H,15057.0,159.0,240.0,420.0,2.761,5.761
12,FERRY,FERRY,H,C,15216.0,60.0,,,,
12,MAINT,A,C,C,15276.0,45.0,,,,
12,FLIGHT,F210,C,D,17965.0,127.0,240.0,261.0,0.742,3.742
12,MAINT,A,D,D,18092.0,45.0,,,,
12,FLIGHT,F218,D,K,18471.0,116.0,240.0,134.0,0.39,3.39
12,MAINT,B,K,K,18587.0,90.0,,,,
12,FLIGHT,F229,K,D,19560.0,147.0,240.0,420.0,-0.366,2.634
12,MAINT,C,D,D,19707.0,240.0,,,,
12,FLIGHT,F248,D,L,21281.0,65.0,240.0,420.0,3.074,1.439
12,FLIGHT,F255,L,B,22092.0,167.0,175.0,355.0,2.51,0.876
12,FERRY,FERRY,B,I,22259.0,60.0,,,,
12,MAINT,A,I,I,22319.0,45.0,,,,
12,FLIGHT,F268,I,C,22564.0,128.0,240.0,188.0,2.183,0.548
13,FERRY,FERRY,H,L,0.0,60.0,,,,
13,MAINT,B,L,L,60.0,90.0,,,,
13,FLIGHT,F14,L,J,1083.0,168.0,240.0,420.0,0.248,0.248
13,FERRY,FERRY,J,G,1251.0,60.0,,,,
13,MAINT,A,G,G,1311.0,45.0,,,,
13,FLIGHT,F47,G,H,3958.0,88.0,240.0,252.0,-1.749,-1.749
13,FERRY,FERRY,H,K,4046.0,60.0,,,,
13,MAINT,D,K,K,4106.0,420.0,,,,
13,FLIGHT,F81,K,L,7614.0,82.0,240.0,420.0,1.856,4.856
13,FLIGHT,F88,L,D,7797.0,141.0,158.0,338.0,1.728,4.728
13,MAINT,A,D,D,7938.0,45.0,,,,
13,FLIGHT,F105,D,L,8384.0,64.0,240.0,197.0,1.321,4.321
13,FLIGHT,F115,L,E,9620.0,116.0,176.0,133.0,0.463,3.463
13,MAINT,B,E,E,9736.0,90.0,,,,
13,FLIGHT,F120,E,G,10518.0,144.0,240.0,420.0,-0.161,2.839
13,FERRY,FERRY,G,K,10662.0,60.0,,,,
13,MAINT,C,K,K,10722.0,240.0,,,,
13,FLIGHT,F143,K,L,12321.0,66.0,240.0,420.0,3.056,1.587
13,FERRY,FERRY,L,C,12387.0,60.0,,,,
13,FLIGHT,F172,C,E,14866.0,157.0,174.0,354.0,1.289,-0.181
13,MAINT,D,E,E,15023.0,420.0,,,,
13,FLIGHT,F194,E,C,16372.0,107.0,240.0,420.0,3.355,6.355
13,FERRY,FERRY,C,J,16479.0,60.0,,,,
13,FLIGHT,F201,J,L,16544.0,114.0,133.0,313.0,3.235,6.235
13,FERRY,FERRY,L,K,16658.0,60.0,,,,
13,MAINT,A,K,K,16718.0,45.0,,,,
13,FLIGHT,F239,K,I,20985.0,109.0,240.0,199.0,0.151,3.151
13,MAINT,B,I,I,21094.0,90.0,,,,
13,FLIGHT,F250,I,B,21291.0,171.0,240.0,420.0,-0.061,2.939
13,MAINT,C,B,B,21462.0,240.0,,,,
13,FLIGHT,F273,B,K,23716.0,140.0,240.0,420.0,2.601,1.255
13,FERRY,FERRY,K,I,23856.0,60.0,,,,
13,FLIGHT,F288,I,C,25531.0,94.0,100.0,280.0,1.341,-0.006
14,FERRY,FERRY,E,L,0.0,60.0,,,,
14,MAINT,D,L,L,60.0,420.0,,,,
14,FLIGHT,F18,L,K,1839.0,118.0,240.0,420.0,3.056,6.056
14,FERRY,FERRY,K,C,1957.0,60.0,,,,
14,MAINT,A,C,C,2017.0,45.0,,,,
14,FLIGHT,F46,C,G,3865.0,134.0,240.0,302.0,1.649,4.649
14,FERRY,FERRY,G,D,3999.0,60.0,,,,
14,FLIGHT,F82,D,G,7642.0,79.0,106.0,168.0,-0.974,2.026
14,FERRY,FERRY,G,H,7721.0,60.0,,,,
14,MAINT,C,H,H,7781.0,240.0,,,,
14,FLIGHT,F123,H,F,10656.0,72.0,240.0,420.0,2.17,-0.067
14,MAINT,D,F,F,10728.0,420.0,,,,
14,FLIGHT,F140,F,C,12202.0,118.0,240.0,420.0,3.268,6.268
14,FLIGHT,F153,C,K,13465.0,87.0,122.0,302.0,2.391,5.391
14,FERRY,FERRY,K,E,13552.0,60.0,,,,
14,MAINT,A,E,E,13612.0,45.0,,,,
14,FLIGHT,F163,E,G,13799.0,118.0,240.0,215.0,2.159,5.159
14,FERRY,FERRY,G,C,13917.0,60.0,,,,
14,FLIGHT,F189,C,G,15469.0,83.0,122.0,97.0,0.999,3.999
14,MAINT,B,G,G,15552.0,90.0,,,,
