AID,Type,ID,From,To,Dep(min),Dur(min),Rem_A(min),Rem_B(min),Rem_C(days),Rem_D(days)
5,FERRY,FERRY,I,E,0.0,60.0,,,,
5,MAINT,B,E,E,60.0,90.0,,,,
5,FLIGHT,F8,E,K,550.0,89.0,240.0,420.0,1.618,0.618
5,FLIGHT,F60,K,F,3869.0,62.0,151.0,331.0,-0.687,-1.687
5,MAINT,D,F,F,3931.0,420.0,,,,
5,FLIGHT,F66,F,J,4712.0,103.0,240.0,420.0,3.749,6.749
5,FERRY,FERRY,J,L,4815.0,60.0,,,,
5,FLIGHT,F81,L,H,5336.0,73.0,137.0,317.0,3.316,6.316
5,MAINT,A,H,H,5409.0,45.0,,,,
5,FLIGHT,F106,H,F,6870.0,166.0,240.0,244.0,2.251,5.251
5,FERRY,FERRY,F,H,7036.0,60.0,,,,
5,FLIGHT,F127,H,J,9190.0,68.0,74.0,78.0,0.64,3.64
5,MAINT,B,J,J,9258.0,90.0,,,,
5,FLIGHT,F145,J,D,10471.0,98.0,240.0,420.0,-0.25,2.75
5,MAINT,C,D,D,10569.0,240.0,,,,
5,FLIGHT,F159,D,A,10918.0,86.0,240.0,420.0,3.924,2.44
5,FERRY,FERRY,A,C,11004.0,60.0,,,,
5,FLIGHT,F178,C,L,12605.0,85.0,154.0,334.0,2.753,1.268
5,MAINT,A,L,L,12690.0,45.0,,,,
5,FLIGHT,F186,L,E,13558.0,72.0,240.0,249.0,2.091,0.606
5,FERRY,FERRY,E,C,13630.0,60.0,,,,
5,FLIGHT,F224,C,H,16592.0,90.0,168.0,177.0,-0.016,-1.501
5,FERRY,FERRY,H,I,16682.0,60.0,,,,
5,MAINT,D,I,I,16742.0,420.0,,,,
5,FLIGHT,F258,I,A,18472.0,106.0,240.0,420.0,3.09,6.09
5,FLIGHT,F297,A,I,22557.0,95.0,134.0,314.0,0.253,3.253
5,FERRY,FERRY,I,L,22652.0,60.0,,,,
5,MAINT,A,L,L,22712.0,45.0,,,,
5,FLIGHT,F308,L,H,23612.0,179.0,240.0,219.0,-0.479,2.521
5,FERRY,FERRY,H,C,23791.0,60.0,,,,
5,MAINT,C,C,C,23851.0,240.0,,,,
5,FLIGHT,F344,C,A,26395.0,168.0,240.0,420.0,2.4,0.588
5,MAINT,A,A,A,26563.0,45.0,,,,
5,FLIGHT,F377,A,I,28411.0,118.0,240.0,252.0,1.0,-0.812
5,MAINT,D,I,I,28529.0,420.0,,,,
5,FLIGHT,F385,I,A,29272.0,90.0,240.0,420.0,3.776,6.776
5,MAINT,A,A,A,29362.0,45.0,,,,
5,FLIGHT,F389,A,I,29680.0,180.0,240.0,330.0,3.492,6.492
5,MAINT,A,I,I,29860.0,45.0,,,,
5,FLIGHT,F397,I,J,29993.0,61.0,240.0,150.0,3.275,6.275
6,FERRY,FERRY,A,J,0.0,60.0,,,,
6,MAINT,A,J,J,60.0,45.0,,,,
6,FLIGHT,F13,J,K,792.0,78.0,240.0,115.0,1.45,0.45
6,MAINT,B,K,K,870.0,90.0,,,,
6,FLIGHT,F38,K,B,2529.0,70.0,240.0,420.0,0.244,-0.756
6,FERRY,FERRY,B,L,2599.0,60.0,,,,
6,MAINT,D,L,L,2659.0,420.0,,,,
6,FLIGHT,F72,L,G,4842.0,117.0,240.0,420.0,2.776,5.776
6,FLIGHT,F85,G,C,5399.0,62.0,123.0,303.0,2.389,5.389
6,MAINT,A,C,C,5461.0,45.0,,,,
6,FLIGHT,F92,C,F,6467.0,124.0,240.0,241.0,1.647,4.647
6,FERRY,FERRY,F,I,6591.0,60.0,,,,
6,FLIGHT,F125,I,H,9132.0,88.0,116.0,117.0,-0.203,2.797
6,MAINT,C,H,H,9220.0,240.0,,,,
6,FLIGHT,F166,H,F,11998.0,96.0,240.0,420.0,2.238,0.806
6,FERRY,FERRY,F,C,12094.0,60.0,,,,
6,MAINT,A,C,C,12154.0,45.0,,,,
6,FLIGHT,F177,C,J,12443.0,157.0,240.0,324.0,1.928,0.497
6,MAINT,B,J,J,12600.0,90.0,,,,
6,FLIGHT,F197,J,A,13975.0,170.0,240.0,420.0,0.865,-0.567
6,MAINT,D,A,A,14145.0,420.0,,,,
6,FLIGHT,F208,A,I,14922.0,63.0,240.0,420.0,3.752,6.752
6,MAINT,A,I,I,14985.0,45.0,,,,
6,FLIGHT,F223,I,D,16382.0,177.0,240.0,357.0,2.738,5.738
6,FERRY,FERRY,D,B,16559.0,60.0,,,,
6,MAINT,A,B,B,16619.0,45.0,,,,
6,FLIGHT,F232,B,F,16721.0,166.0,240.0,180.0,2.503,5.503
6,FERRY,FERRY,F,E,16887.0,60.0,,,,
6,MAINT,B,E,E,16947.0,90.0,,,,
6,FLIGHT,F271,E,H,19669.0,129.0,240.0,420.0,0.456,3.456
6,FLIGHT,F302,H,B,22724.0,84.0,111.0,291.0,-1.666,1.334
6,FERRY,FERRY,B,C,22808.0,60.0,,,,
6,MAINT,C,C,C,22868.0,240.0,,,,
6,FLIGHT,F311,C,F,23662.0,149.0,240.0,420.0,3.615,0.683
6,MAINT,A,F,F,23811.0,45.0,,,,
6,FLIGHT,F324,F,A,24204.0,129.0,240.0,271.0,3.239,0.306
6,FERRY,FERRY,A,C,24333.0,60.0,,,,
6,MAINT,A,C,C,24393.0,45.0,,,,
6,FLIGHT,F352,C,J,26734.0,122.0,240.0,142.0,1.482,-1.451
7,FERRY,FERRY,D,H,0.0,60.0,,,,
7,MAINT,D,H,H,60.0,420.0,,,,
7,FLIGHT,F17,H,E,904.0,89.0,240.0,420.0,3.706,6.706
7,MAINT,A,E,E,993.0,45.0,,,,
7,FLIGHT,F35,E,J,2497.0,159.0,240.0,331.0,2.599,5.599
7,MAINT,A,J,J,2656.0,45.0,,,,
7,FLIGHT,F70,J,B,4814.0,83.0,240.0,172.0,0.99,3.99
7,MAINT,B,B,B,4897.0,90.0,,,,
7,FLIGHT,F80,B,I,5168.0,165.0,240.0,420.0,0.744,3.744
7,FERRY,FERRY,I,D,5333.0,60.0,,,,
7,MAINT,A,D,D,5393.0,45.0,,,,
7,FLIGHT,F94,D,B,6520.0,145.0,240.0,255.0,-0.194,2.806
7,MAINT,C,B,B,6665.0,240.0,,,,
7,FLIGHT,F114,B,J,7888.0,102.0,240.0,420.0,3.317,1.856
7,FLIGHT,F129,J,H,9229.0,60.0,138.0,318.0,2.386,0.924
7,MAINT,A,H,H,9289.0,45.0,,,,
7,FLIGHT,F140,H,D,9673.0,128.0,240.0,258.0,2.078,0.616
7,MAINT,B,D,D,9801.0,90.0,,,,
7,FLIGHT,F151,D,A,10583.0,170.0,240.0,420.0,1.446,-0.016
7,FERRY,FERRY,A,C,10753.0,60.0,,,,
7,MAINT,D,C,C,10813.0,420.0,,,,
7,FLIGHT,F165,C,H,11897.0,98.0,240.0,420.0,3.539,6.539
