AID,Type,ID,From,To,Dep(min),Dur(min),Rem_A(min),Rem_B(min),Rem_C(days),Rem_D(days)
19,MAINT,D,K,K,15691.0,420.0,,,,
19,FLIGHT,F178,K,G,18119.0,74.0,240.0,420.0,2.606,5.606
19,FERRY,FERRY,G,B,18193.0,60.0,,,,
19,FLIGHT,F205,B,H,20664.0,80.0,166.0,346.0,0.838,3.838
19,MAINT,A,H,H,20744.0,45.0,,,,
19,FLIGHT,F221,H,B,21322.0,108.0,240.0,266.0,0.381,3.381
19,FLIGHT,F238,B,G,22714.0,95.0,132.0,158.0,-0.585,2.415
19,MAINT,C,G,G,22809.0,240.0,,,,
19,FLIGHT,F245,G,L,23689.0,70.0,240.0,420.0,3.556,1.738
19,FLIGHT,F267,L,F,25217.0,164.0,170.0,350.0,2.494,0.676
19,FERRY,FERRY,F,L,25381.0,60.0,,,,
19,MAINT,A,L,L,25441.0,45.0,,,,
19,FLIGHT,F283,L,J,26395.0,176.0,240.0,186.0,1.676,-0.142
19,FERRY,FERRY,J,I,26571.0,60.0,,,,
19,MAINT,D,I,I,26631.0,420.0,,,,
19,FLIGHT,F325,I,K,29415.0,118.0,240.0,420.0,2.358,5.358
