AID,Type,ID,From,To,Dep(min),Dur(min),Rem_A(min),Rem_B(min),Rem_C(days),Rem_D(days)
8,FERRY,FERRY,E,G,10617.0,60.0,,,,
8,MAINT,C,G,G,10677.0,240.0,,,,
8,FLIGHT,F97,G,F,11150.0,100.0,240.0,420.0,3.838,2.471
8,FLIGHT,F103,F,I,12058.0,117.0,140.0,320.0,3.208,1.84
8,FERRY,FERRY,I,C,12175.0,60.0,,,,
8,MAINT,A,C,C,12235.0,45.0,,,,
8,FLIGHT,F123,C,D,14961.0,154.0,240.0,203.0,1.192,-0.176
8,FERRY,FERRY,D,B,15115.0,60.0,,,,
8,MAINT,D,B,B,15175.0,420.0,,,,
8,FLIGHT,F141,B,I,16360.0,136.0,240.0,420.0,3.469,6.469
8,MAINT,A,I,I,16496.0,45.0,,,,
8,FLIGHT,F146,I,F,16688.0,122.0,240.0,284.0,3.241,6.241
9,MAINT,A,C,C,0.0,45.0,,,,
9,FLIGHT,F6,C,B,582.0,103.0,240.0,114.0,1.596,1.596
9,MAINT,B,B,B,685.0,90.0,,,,
9,FLIGHT,F15,B,J,1859.0,124.0,240.0,420.0,0.709,0.709
9,FERRY,FERRY,J,C,1983.0,60.0,,,,
9,MAINT,A,C,C,2043.0,45.0,,,,
9,FLIGHT,F25,C,B,3648.0,162.0,240.0,296.0,-0.533,-0.533
9,FERRY,FERRY,B,A,3810.0,60.0,,,,
9,MAINT,D,A,A,3870.0,420.0,,,,
9,FLIGHT,F53,A,C,6243.0,108.0,240.0,420.0,2.644,5.644
9,FERRY,FERRY,C,B,6351.0,60.0,,,,
9,MAINT,A,B,B,6411.0,45.0,,,,
9,FLIGHT,F69,B,H,7658.0,137.0,240.0,312.0,1.661,4.661
9,FLIGHT,F78,H,B,8276.0,77.0,103.0,175.0,1.232,4.232
9,MAINT,B,B,B,8353.0,90.0,,,,
9,FLIGHT,F89,B,A,10635.0,155.0,240.0,420.0,-0.406,2.594
9,MAINT,C,A,A,10790.0,240.0,,,,
9,FLIGHT,F102,A,F,11950.0,113.0,240.0,420.0,3.361,1.681
9,FERRY,FERRY,F,E,12063.0,60.0,,,,
9,FLIGHT,F106,E,G,12219.0,73.0,127.0,307.0,3.174,1.494
9,MAINT,A,G,G,12292.0,45.0,,,,
9,FLIGHT,F121,G,D,14880.0,157.0,240.0,234.0,1.326,-0.354
9,FERRY,FERRY,D,G,15037.0,60.0,,,,
9,MAINT,D,G,G,15097.0,420.0,,,,
9,FLIGHT,F137,G,F,16203.0,146.0,240.0,420.0,3.524,6.524
9,MAINT,A,F,F,16349.0,45.0,,,,
9,FLIGHT,F142,F,A,16424.0,94.0,240.0,274.0,3.37,6.37
9,MAINT,B,A,A,16518.0,90.0,,,,
9,FLIGHT,F150,A,C,16914.0,180.0,240.0,420.0,3.03,6.03
9,MAINT,A,C,C,17094.0,45.0,,,,
9,FLIGHT,F159,C,I,18212.0,173.0,240.0,240.0,2.128,5.128
9,MAINT,B,I,I,18385.0,90.0,,,,
9,FLIGHT,F162,I,G,19205.0,91.0,240.0,420.0,1.439,4.439
9,FERRY,FERRY,G,A,19296.0,60.0,,,,
