instance,variant,mode,flights,aircraft,days,variables,constraints,z_variables,build_s,solver,time_limit_s,status,objective,dual_bound,primal_bound,mip_gap,nodes,runtime_s,coverage,error
DataCplex_density=0.65_p=8_h=14_test_2,heuristic:greedy+insertion,heuristic,64,8,,,,,,none,,partial,43115.0,,,,,0.036834,0.84375,10 unassigned
DataCplex_density=0.65_p=8_h=14_test_2,baseline,lp,64,8,14,2896,6598,2048,0.28998,highs,300,optimal,29776.0,29776.0,29776.0,0.0,,0.773985,,
DataCplex_density=0.65_p=8_h=14_test_2,baseline,milp,64,8,14,2896,6598,2048,0.244643,highs,300,optimal,29776.0,29776.0,29776.0,0.0,,1.724061,,
DataCplex_density=0.65_p=8_h=14_test_2,combined,lp,64,8,14,1104,3269,256,0.166704,highs,300,optimal,29776.0,29776.0,29776.0,0.0,,0.458752,,
DataCplex_density=0.65_p=8_h=14_test_2,combined,milp,64,8,14,1104,3269,256,0.223709,highs,300,optimal,29776.0,29776.0,29776.0,0.0,,1.029989,,
DataCplex_density=0.65_p=8_h=14_test_3,heuristic:greedy+insertion,heuristic,64,8,,,,,,none,,partial,43099.0,,,,,0.041062,0.84375,10 unassigned
DataCplex_density=0.65_p=8_h=14_test_3,baseline,lp,64,8,14,2896,6598,2048,0.233917,highs,300,optimal,29744.0,29744.0,29744.0,0.0,,0.766325,,
DataCplex_density=0.65_p=8_h=14_test_3,baseline,milp,64,8,14,2896,6598,2048,0.280035,highs,300,optimal,29744.0,29744.0,29744.0,0.0,,1.693113,,
DataCplex_density=0.65_p=8_h=14_test_3,combined,lp,64,8,14,1104,3269,256,0.223578,highs,300,optimal,29744.0,29744.0,29744.0,0.0,,0.414896,,
DataCplex_density=0.65_p=8_h=14_test_3,combined,milp,64,8,14,1104,3269,256,0.216063,highs,300,optimal,29744.0,29744.0,29744.0,0.0,,0.962732,,
DataCplex_density=0.65_p=8_h=14_test_4,heuristic:greedy+insertion,heuristic,64,8,,,,,,none,,partial,43116.0,,,,,0.037151,0.84375,10 unassigned
DataCplex_density=0.65_p=8_h=14_test_4,baseline,lp,64,8,14,2896,6598,2048,0.332934,highs,300,optimal,29777.0,29777.0,29777.0,0.0,,0.774467,,
DataCplex_density=0.65_p=8_h=14_test_4,baseline,milp,64,8,14,2896,6598,2048,0.240975,highs,300,optimal,29777.0,29777.0,29777.0,0.0,,1.70736,,
DataCplex_density=0.65_p=8_h=14_test_4,combined,lp,64,8,14,1104,3269,256,0.231089,highs,300,optimal,29777.0,29777.0,29777.0,0.0,,0.388523,,
